N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
180,다우기술,"22,700","2,650",+13.22%,500,"10,185","44,867",23.54,"5,413,898",5.35,14.62,
181,이노션,"50,700",300,+0.60%,500,"10,140","20,000",28.77,"115,116",15.18,9.88,
182,KODEX 코스닥150 레버리지,"14,150",150,+1.07%,0,"10,131","71,600",1.28,"23,116,799",N/A,N/A,
183,코스맥스,"100,500",500,+0.50%,500,"10,100","10,050",22.73,"74,497",26.20,10.45,
184,KBSTAR 200,"31,755",395,+1.26%,0,"10,019","31,550",0.11,"280,361",N/A,N/A,
185,대한유화,"153,500","8,500",+5.86%,"5,000","9,978","6,500",14.36,"688,482",11.90,6.11,
186,코오롱인더,"35,400",800,-2.21%,"5,000","9,550","26,979",17.36,"589,667",6.09,1.58,
187,SK디앤디,"49,700","3,400",-6.40%,"1,000","9,438","18,990",4.93,"582,039",10.22,12.66,
188,대상,"27,100",300,+1.12%,"1,000","9,390","34,648",18.18,"230,872",7.25,11.17,
189,현대오토에버,"44,350","1,450",+3.38%,500,"9,314","21,000",1.33,"81,698",16.19,11.71,
190,SK가스,"100,000","2,000",-1.96%,"5,000","9,230","9,230",8.78,"26,174",2.65,9.85,
191,DGB금융지주,"5,370",40,+0.75%,"5,000","9,083","169,146",45.77,"573,634",2.92,7.31,
192,JB금융지주,"4,560",15,+0.33%,"5,000","8,982","196,983",39.05,"397,275",2.76,10.36,
193,영풍,"486,500","4,000",+0.83%,"5,000","8,962","1,842",4.37,"1,112",4.01,7.40,
194,TRUE 코스피 양매도 5% OTM ETN,"9,025",25,+0.28%,0,"8,926","98,900",0.00,"42,613",N/A,N/A,
195,휴켐스,"21,700","1,600",-6.87%,"1,000","8,871","40,879",9.12,"1,078,100",14.25,10.82,
196,쿠쿠홈시스,"39,400",300,-0.76%,100,"8,840","22,437",4.32,"38,985",11.54,16.10,
197,두산,"53,300","4,100",-7.14%,"5,000","8,807","16,524",7.82,"794,542",15.42,23.52,
198,롯데리츠,"5,090",20,+0.39%,500,"8,753","171,969",9.01,"316,747",59.19,1.64,
199,아시아나항공,"3,920",75,-1.88%,"5,000","8,751","223,235",6.17,"3,713,662",-0.80,-90.67,
200,코리안리,"7,160",0,0.00%,500,"8,618","120,369",27.19,"670,519",5.12,8.04,
